Id,lesson_price,qualification,physics,chemistry,history,mean_exam_points,log_years_of_experience,log_month_of_experience,start_tutor,square_price,lesson_age,lesson_experience,lesson_qualification,total_subject,lesson_subject_binary,cluster
0.0,1400.0,1.0,1.0,0.0,0.0,63.0,0.4054651081081644,1.791759469228055,39.5,1960000.0,0.8228856984427089,0.8774933232017343,1.0447002202093123,2.0,0.8417415342087077,4
1.0,2850.0,3.0,1.0,0.0,0.0,86.0,1.6094379124341003,3.871201010907891,44.0,8122500.0,1.6810549674369484,1.497545696788369,1.1670986265228525,1.0,1.6801338371193153,1
2.0,1200.0,1.0,0.0,0.0,0.0,53.0,0.4054651081081644,1.791759469228055,38.5,1440000.0,0.705330598665179,0.7521371341729152,0.895457331607982,0.0,0.7051811405672426,0
3.0,1400.0,1.0,0.0,0.0,0.0,56.0,1.791759469228055,4.0943445622221,41.0,1960000.0,0.8257813875128869,0.7146533973919011,1.0447002202093123,0.0,0.822711330661783,4
4.0,1500.0,1.0,0.0,0.0,0.0,59.0,0.6931471805599453,2.4849066497880004,42.0,2250000.0,0.884765772335236,0.9232727052366401,1.1193216645099775,0.0,0.8814764257090533,2
5.0,1650.0,1.0,0.0,0.0,0.0,43.0,1.6094379124341003,3.871201010907891,29.0,2722500.0,0.9698295731646212,0.8670001402458979,1.2312538309609753,0.0,0.9696240682799586,2
6.0,2100.0,1.0,0.0,0.0,0.0,72.0,0.6931471805599453,2.4849066497880004,52.0,4410000.0,1.234634418428017,1.2925817873312961,1.5670503303139685,0.0,1.2340669959926747,5
7.0,1800.0,2.0,0.0,0.0,0.0,60.0,1.3862943611198906,3.58351893845611,57.0,3240000.0,1.0582580729383002,1.0355828220858896,1.0098328008961541,0.0,1.057771710850864,7
8.0,1200.0,1.0,0.0,1.0,0.0,57.0,0.6931471805599453,2.4849066497880004,38.0,1440000.0,0.705330598665179,0.738618164189312,0.895457331607982,1.0,0.7056459330143541,0
9.0,1750.0,1.0,0.0,0.0,0.0,37.0,1.791759469228055,4.0943445622221,44.0,3062500.0,1.0322267343911087,0.8933167467398765,1.3058752752616405,0.0,1.0283891633272289,2
10.0,1150.0,1.0,0.0,0.0,0.0,61.0,1.3862943611198906,3.58351893845611,31.0,1322500.0,0.6759418237207966,0.661622358554874,0.8581466094576494,0.0,0.6757985930436075,0
11.0,2100.0,2.0,0.0,0.0,0.0,65.0,1.0986122886681098,3.1780538303479458,48.0,4410000.0,1.2386720812693304,1.305351446925339,1.1781382677121797,0.0,1.2340669959926747,5
12.0,1300.0,2.0,0.0,0.0,0.0,61.0,1.3862943611198906,3.58351893845611,39.0,1690000.0,0.7667970026905379,0.7479209270620314,0.7293236895361113,0.0,0.7639462356145128,0
13.0,2300.0,2.0,1.0,0.0,0.0,79.0,1.0986122886681098,3.1780538303479458,47.0,5290000.0,1.3566408509140284,1.4296706323468,1.2903419122561968,2.0,1.351051673790681,5
14.0,2600.0,3.0,1.0,1.0,0.0,94.0,1.6094379124341003,3.871201010907891,41.0,6760000.0,1.5335940053810757,1.366182039175354,1.064721554020848,2.0,1.5513244403906814,1
15.0,1150.0,1.0,0.0,0.0,0.0,53.0,1.6094379124341003,3.871201010907891,39.0,1322500.0,0.6783204254570142,0.6042728250198682,0.8581466094576494,0.0,0.6757985930436075,0
16.0,1400.0,1.0,1.0,0.0,0.0,64.0,0.4054651081081644,1.791759469228055,48.5,1960000.0,0.8257813875128869,0.8774933232017343,1.0447002202093123,1.0,0.8253289024445759,4
17.0,1500.0,1.0,0.0,0.0,0.0,52.0,1.3862943611198906,3.58351893845611,43.0,2250000.0,0.884765772335236,0.8629856850715747,1.1193216645099775,0.0,0.8814764257090533,2
18.0,1300.0,1.0,0.0,0.0,0.0,62.0,1.3862943611198906,3.58351893845611,43.0,1690000.0,0.7667970026905379,0.7479209270620314,0.9700787759086472,0.0,0.7639462356145128,4
19.0,1550.0,1.0,0.0,0.0,0.0,34.0,0.4054651081081644,1.791759469228055,53.5,2402500.0,0.9112777850302031,0.9715104649733487,1.15663238666031,0.0,0.9108589732326884,2
20.0,1650.0,1.0,0.0,0.0,0.0,42.0,1.3862943611198906,3.58351893845611,54.0,2722500.0,0.970069900193442,0.9492842535787321,1.2312538309609753,1.0,0.9568188878533705,2
21.0,1850.0,1.0,0.0,0.0,0.0,52.0,1.791759469228055,4.0943445622221,47.0,3422500.0,1.0876541305199197,0.9443634179821552,1.3804967195623057,1.0,1.083810390027286,2
22.0,300.0,1.0,0.0,0.0,0.0,45.0,1.9459101490553132,4.276666119016055,43.0,90000.0,0.1769531544670472,0.14618061916101852,0.2238643329019955,0.0,0.17629528514181064,9
23.0,1850.0,1.0,0.0,1.0,0.0,42.0,1.6094379124341003,3.871201010907891,54.0,3422500.0,1.0876541305199197,0.9720910663363097,1.3804967195623057,1.0,1.0878708133971293,2
24.0,1300.0,1.0,1.0,0.0,0.0,68.0,0.6931471805599453,2.4849066497880004,59.0,1690000.0,0.7642974971221058,0.8001696778717547,0.9700787759086472,1.0,0.766376837984249,4
25.0,1200.0,3.0,1.0,0.0,0.0,62.0,1.6094379124341003,3.871201010907891,38.0,1440000.0,0.7078126178681888,0.6305455565424711,0.4914099480096221,1.0,0.7074247735239222,9
26.0,1500.0,1.0,1.0,0.0,0.0,44.0,0.4054651081081644,1.791759469228055,48.5,2250000.0,0.884765772335236,0.9401714177161439,1.1193216645099775,1.0,0.8842809669049028,2
27.0,2400.0,3.0,1.0,0.0,0.0,91.0,1.791759469228055,4.0943445622221,50.0,5760000.0,1.4110107639177338,1.2251201098146878,0.9828198960192442,1.0,1.4148495470478444,3
28.0,2200.0,2.0,0.0,0.0,0.0,82.0,1.6094379124341003,3.871201010907891,40.0,4840000.0,1.2976564660916794,1.1560001869945304,1.2342400899841883,1.0,1.288855598951367,5
